"United States Postal Service","federal","164743","90814","2820","167395","200","24760 S Main Street","",""
"MemorialCare Surgery Center Laguna Niguel","healthcare","167396","92677","2820","167396","15","","",""
"","individuals","53367","90049","2820","167397","1","","",""
"Compassionate Hospice Inc.","businesses","167275","93065","2820","167398","6","1656 E. Los Angeles Ave","",""
"TransPower","businesses","167399","92065","2820","167399","100","2415 Autopark way","","Meritor"
"Prohealth Homecare Agency, Inc.","healthcare","129415","91606","2820","167400","10","11755 VICTORY BLVD. SUITE 290","","Prohealth Homecare Agency, Inc."
"Paradise Home Health Care Services, Inc.","healthcare","129415","91606","2820","167401","10","12509 Oxnard Street, Suite 212P","",""
"Poway Surgery Center","healthcare","99823","92064","2820","167402","12","15525 Pomerado Road","Suite E-2","Amurg Corp."
"Nexus Legacy, Inc. DBA Lighthouse Hospice & Palliative Care Services","healthcare","129493","91790-2808","2820","167403","25","640 S. Sunset Avenue","Suite 204",""
"DISC Sports and Spine Center","healthcare","136659","90292","2820","167404","25","13160 Mindanao Way","Suite 150",""
"Unified Care Providers, Inc.","healthcare","167405","92618","2820","167405","7","6 Venture","Suite 210",""
"Care Circle, LLC","healthcare","167406","91790","2820","167406","7","640 S Sunset Avenue","Suite 208","Care Circle, LLC"
"Vista Louise, LLC","businesses","167407","90034","2820","167407","30","10810 Palms Blvd.","",""
"Canyon View Elementary School","schools","145055","92129","2820","167408","615","9225 Adolphia Street","","Poway Unified School District"
"Tolowa Dee-ni' Nation","tribes","46559","95567","2820","167409","100","140 ROWDY CREEK RD","","Tolowa Dee-ni' Nation"
"","individuals","167410","94565","2820","167410","2","","",""
"Golden Star Home Care LLC","healthcare","167411","94509","2820","167411","10","320 E 18th St Suite A","",""
"Sehaj Home Health Inc.","healthcare","150415","94538","2820","167412","20","44790 SOUTH GRIMMER BLVD 206","",""
"Angel Care Home Health, Inc.","healthcare","128856","91214","2820","167413","10","2600 Foothill Blvd, Ste 103","",""
"","individuals","167414","94107","2820","167414","2","","",""
"","individuals","55691","92610","2820","167415","4","","",""
"Los Angeles Minimally Invasive Surgery Center","healthcare","166581","90211","2820","167416","5","8929 Wilshire Blvd","Suite 215","George Rappard MD inc"
"Salida Surgery Center","healthcare","136913","95368","2820","167417","25","5712 Pirrone Rd","",""
"San Vicente Surgery Center, LLC","healthcare","157546","90025","2820","167418","6","11645 Wilshire Blvd","suite 987","San Vicente Surgery Center, LLC"
"International Christian Adoptions","faithbased","128729","92590","2820","167419","25","41745 Rider Way #2","",""
"","individuals","21412","91754","2820","167420","4","","",""
"Happy Minds Kids Academy","childcare","54173","92691","2820","167421","162","24000 Alicia Parkway #35","","Happy Minds Kids Academy"
"","individuals","167422","95121","2820","167422","7","","",""
"","individuals","165776","92021","2820","167423","4","","",""
"Young People's Village","childcare","32538","91780","2820","167424","135","6051 North Rosemead Blvd","","Temple City"
"","individuals","156158","90274-9272","2820","167425","1","","",""
"Aquamor","businesses","167426","92590","2820","167426","20","42188 Rio Nedo","",""
"","individuals","69426","91214","2820","167427","2","","",""
"","individuals","132381","91730","2820","167428","1","","",""
"","individuals","163461","93291","2820","167429","4","","",""
"","individuals","167430","91786","2820","167430","3","","",""
"ExcelCare Hospice, Inc","healthcare","110004","92324","2820","167431","10","937 Via lata Suite 200,","","ExcelCare Hospice,INC."
"West Bond Inc.","businesses","8604","92806","2820","167432","40","1551 S. Harris Court","",""
"Accurate Medical Billing & Audit","businesses","126851","91730","2820","167433","7","7365 Carnelian St, Suite 207","","Accurate Medical Billing & Audit"
"De Porres Home Healthcare Services","healthcare","167434","95209","2820","167434","2","1130 N. El Dorado Street","","De Porres Home Healthcare Services"
"Tampa Surgical Center","healthcare","129376","91335","2820","167435","5","7640 Tampa Avenue # 102","",""
"East Los Angeles Dialysis Center","healthcare","107249","90022","2820","167436","36","5830 East Whittier Blvd.","","CDMS"
"","individuals","122012","91701","2820","167437","6","","",""
"Springfield Montessori School","childcare","163527","94568","2820","167438","65","5100 Branningan Street","",""
"Little Light Preschool and Calvary Pacific Coast","faithbased","113840","92683","2820","167439","110","6400 Westminster Blvd","","Calvary Chapel Pacific Coast"
"FMC North Coast Kidney Center","healthcare","128872","92056","2820","167440","25","3300 Vista Way Suite A","","Fresenius Medical Care"
"","individuals","142543","91331","2820","167441","6","","",""
"St. Theresa Elementary School","schools","151445","92262","2820","167442","170","455 S. Compadre Road","","Diocese of San Bernardino"
"US Renal Care Patterson Dialysis","healthcare","42746","95363","2820","167443","60","1700 Keystone Pacific Parkway Suite A-1","","US Renal Care"
"US Coast Guard Auxiliary","federal","136965","92629","2820","167444","1389","24399 Dana Dr","","US Coast Guard"
"Community Care and Hospice LLC","healthcare","128730","93012","2820","167445","13","4000 Calle Tecate","Suite 114","Community Care and Hospice LLC"
"","individuals","45750","94306","2820","167446","3","","",""
"Las Flores Convalescent Hospital","healthcare","148380","90249","2820","167447","20","14165 Purche Ave.","",""
"Hotel Milo","lodging","131657","93101","2820","167448","24","202 w. Carrillo","","Hersha Hospitality Management"
"Sutter Auburn Faith Hospital","healthcare","125152","95602","2820","167449","250","11815 Education Street","","Sutter Health"
"","individuals","31182","92011","2820","167450","2","","",""
"","individuals","109579","95618-4808","2820","167451","1","","",""
"Soul Hospice Inc","healthcare","167452","91733","2820","167452","25","10926 Rush St., Unit B","",""
"Beloved Home Health Care, Inc.","healthcare","167453","91502","2820","167453","5","103 W. Alameda Ave","Suite 121",""
"Jamul-Dulzura Union School District","schools","5363","91935","2820","167454","650","14581 Lyons Valley Road","","Jamul-Dulzura Union School District"
"A Happy Days Preschool","childcare","111903","91344","2820","167455","24","11011 hayvenhurst ave","",""
"","individuals","68906","95062","2820","167456","1","","",""
"the Endoscopy Center","healthcare","49785","92024","2820","167457","15","700 Garden View Court  #101","","USPI"
"Academy for Professional Excellence","nonprofits","86715","92182","2820","167458","113","6505 Alvarado Road, Ste. 107","","SDSURF"
"Broadmoor Placentia","neighborhoods","158446","92870","2820","167459","200","1001 Pacifica Drive","","Broadmoor Placentia Emergency Committee"
"Ceres High School","schools","124761","95307","2820","167460","1800","","","Ceres Unified School District"
"Care Dimensions LLC","healthcare","167461","92704","2820","167461","100","3401 W Sunflower Ave #200","","Care Dimensions LLC"
"Reliance Hospice and Palliative Care","healthcare","149111","90502","2820","167462","100","19750 S. Vermont Ave. #160","","Reliance Hospice and Palliative Care"
"Bridge Home Health Solano","healthcare","167390","94533","2820","167463","15","1261 Travis Blvd., Suite 255","","Bridge Home Health and Hospice"
"CareOptions Hospice","healthcare","157097","92879","2820","167464","20","495 E Rincon Street","","CareOptions Hospice"
"Bandai America Incorporated","businesses","124201","90245","2820","167465","50","2120 Park Place Suite 120","","Bandai America Incorporated"
"City of Saratoga","local","15213","95070","2820","167466","52","13777 Fruitvale Avenue","","City of Saratoga"
"Green Way Hospice, Inc","healthcare","167467","91352","2820","167467","4","","",""
"Fidelis Specialty Pharmacy","healthcare","156783","91007","2820","167468","4","1002 S Baldwin Ave","",""
"SUNRISE HOSPICE CARE, INC","healthcare","167469","95124","2820","167469","8","2034 WOODARD ROAD, UNIT B","","SUNRISE HOSPICE CARE, INC"
"RCFE Disaster Preparedness Task Force San Diego","seniors","72445","92069","2820","167470","100","197 Woodland Pkwy Ste 104 # 279","","RCFE Disaster Preparedness Task Force San Diego"
"","individuals","167471","94533","2820","167471","4","","",""
"Thrive Home Health Care INC","healthcare","146035","95624","2820","167472","13","","",""
"Blessed Hope Hospice","healthcare","158688","92408","2820","167473","13","2619 South Waterman Ave","",""
"","individuals","153811","94121","2820","167474","2","","",""
"Coachella Valley Adult School","schools","127556","92236","2820","167475","735","1099 Orchard Avenue","","Coachella Valley Unified School District"
"DOCS Surgical Hospital","healthcare","119623","90036","2820","167476","55","6000 San Vicente Blvd","",""
"","individuals","128618","92508","2820","167477","1","","",""
"Remedy LA Home Care","healthcare","160809","90064","2820","167478","5","2300 WESTWOOD BLVD","UNIT 102",""
"Northridge Surgery Center","healthcare","167479","91324","2820","167479","5","19331 Business Center Dr #102","","Northridge Surgery Center"
"","individuals","167484","94597","2820","167484","1","","",""
"Teletrac Navman","businesses","139087","92841","2820","167485","100","7391 Lincoln Way","","Fortive/Vontier"
"","individuals","167486","90007","2820","167486","4","","",""
"Hawthorne Surgery Center","healthcare","167487","90250","2820","167487","15","","",""
"","individuals","167488","92105","2820","167488","3","","",""
"Abroms Dougherty Vision ASC","healthcare","167489","93401-7933","2820","167489","5","4472 Broad St Ste 150","",""
"PagerDuty, Inc","businesses","167490","94103","2820","167490","100","","",""
"","individuals","123231","94703","2820","167491","2","","",""
"Avalon Surgery Center","healthcare","142156","91204","2820","167492","15","435 ARDEN AVE","SUITE 520","Avalon Healthcare"
"","individuals","167493","90605","2820","167493","3","","",""
"Kuehne-Nagel Redlands","businesses","167494","92374","2820","167494","60","9425 Nevada st.","",""
"Arlington Gardens care center","healthcare","125236","92505","2820","167495","60","3688 Nye ave","",""
"","individuals","167496","92656","2820","167496","5","","",""
"Ziba Hospice","healthcare","125933","90712","2820","167497","12","3950 Paramount Blvd","Suite 107",""
"","individuals","86369","94928","2820","167498","4","","",""
"","individuals","167501","93065","2820","167501","1","","",""
"Providence Facey Medical Foundation","healthcare","167504","91345","2820","167504","50","11333 North Sepulveda Blvd","","Facey Medical Foundation/Providence Health and Services"
"Miracle Home Health Care, Inc.","healthcare","158737","90036","2820","167505","60","","",""
"","individuals","167506","95608","2820","167506","3","","",""
"","individuals","167507","90035-3614","2820","167507","2","","",""
"","individuals","158443","92336","2820","167508","4","","",""
"Lady of Joy Hospice","healthcare","167509","91763","2820","167509","5","4959 PALO VERDE ST., #103A-6","",""
"SUMMER BREEZE HEALTHCARE","healthcare","167510","91763","2820","167510","5","4959 PALO VERDE ST., SUITE 106C-3","",""
"LIVING ANGELS HOSPICE CARE","healthcare","167511","91763","2820","167511","5","4959 PALO VERDE ST., #208C-1","",""
"AMICI HOSPICE, INC.","healthcare","170616","92504","2820","167512","5","7121  Magnolia Ave., Suite F","",""
"Ganahl Lumber Company","healthcare","122901","92805","2820","167513","1000","1220 E. Ball Rd.","","Ganahl Lumber Company"
"Fresenius Kidney Care","healthcare","134024","93619","2820","167514","35","2585 Alluvial Ave","","Fresenius Kidney Care"
"Aircraft Covers Inc.","businesses","167515","95037","2820","167515","75","","",""
"Casitas Care Center","seniors","148447","91344","2820","167516","6","10626 Balboa Blvd.","",""
"OC Specialty Care Surgery Center","healthcare","151794","92705","2820","167518","6","1200 North Tustin Ave STE #155","",""
"Specialty Care Surgery Center","healthcare","167519","92881","2820","167519","6","1810 Fullerton Ave ste 103","","Circle City Surgery Center, OC Specialty Care Surgery Center"
"","individuals","167520","95148","2820","167520","2","","",""
"Citrus Nursing Center","healthcare","162351","92335","2820","167521","50","9440 Citrus Ave.","","Sun Mar Healthcare"
"Emanate Health (Entire System)","healthcare","167517","91790","2820","167522","3500","1115 South Sunset Ave","","Emanate Health"
"Almond Home ICF/DDN and Almond Home II, ICF/DD-N","healthcare","85907","95148","2820","167523","15","2962 ALMOND DRIVE","2551 GUMDROP DRIVE","Almond Home, Inc."
"Affinity Hospice Care, Inc.","healthcare","167524","94545","2820","167524","30","24301 Southland Drive Suite 221","",""
"Global Communication Semiconductors, LLC","businesses","167525","90505","2820","167525","100","23155 Kashiwa Court","",""
"Department of Rehabilitation","state","167526","90220","2820","167526","10","1929 W. Artesia Blvd. Ste C","",""
"Stallings Family Child Care","childcare","167527","92234","2820","167527","17","30700 Avenida Juarez","",""
"Younique Surgery Center","healthcare","167528","90401","2820","167528","8","1317 5th Street, Suite 301","",""
"","individuals","27262","92107","2820","167529","4","","",""
"Bedford Ambulatory Surgery Center","healthcare","167530","90210","2820","167530","6","436 N. Bedford Dr., suite 207","",""
"","individuals","167531","91340","2820","167531","1","","",""
"PLEASANT DAY HOSPICE, INC.","healthcare","167532","91411","2820","167532","13","6737 Sepulveda Blvd","",""
"","individuals","167533","90057","2820","167533","4","","",""
"Marycrest Manor","seniors","31968","90230","2820","167534","50","10664 St James Drive","",""
"Sherman Thomas Charter High School","schools","115769","93638","2820","167535","109","101 W. Adell Street","","Sherman Thomas Charter Schools"
"","individuals","124633","94555","2820","167536","6","","",""
"pacific hills manor","healthcare","165979","95037","2820","167537","50","370 noble ct","","Covenant Care"
"Central Coast Surgery Center","healthcare","142148","95019","2820","167538","20","160 S Green Valley Road","101","Central Coast Surgery Center"
"Elk Hills Elementary","schools","167539","93276-0129","2820","167539","225","PO Box 129","501 KERN STREET","Elk Hills School District"
"","individuals","167540","90230","2820","167540","2","","",""
"Pristine Care Home Health Services Inc","healthcare","167541","92590","2820","167541","10","28481 Rancho California Road","SUITE 109","Prisitne Care Home Health"
"FKC Palmdale Clinic","healthcare","144666","93551","2820","167542","60","38910 Trade Center Drive","","Fresenius Kidney Care"
"Encino Dermasurgery Ambulatory Center","healthcare","158625","91436","2820","167543","8","","",""
"All-Access Home Health Inc.","healthcare","128964","91206","2820","167544","6","144 N. Glendale Ave","Suite 302","All-Access Home Health Inc."
"R&R Surgical Institute","healthcare","167545","90503","2820","167545","5","21250 Hawthorne Blvd., Suite 440","",""
"Breeze of Life Hospice, Inc.","healthcare","167546","91204","2820","167546","4","412 W Broadway","Ste 202",""
"APLA Health & Wellness Long Beach Health Center","healthcare","167547","90813","2820","167547","50","","",""
"APLA Health & Wellness Gleicher/Chen Health Center","healthcare","167548","90016","2820","167548","75","","",""
"APLA Health & Wellness Olympic Health Center","healthcare","167549","90036","2820","167549","60","","",""
"APLA Health & Wellness Wilshire Dental Clinic","healthcare","167550","90017","2820","167550","50","","",""
"APLA Health & Wellness David Geffen Center","healthcare","167551","90005","2820","167551","75","","",""
"Comprehensive Pain ASC, LLC","healthcare","167552","92128","2820","167552","10","16466 Bernardo Center Drive","Suite 177","CPMS"
"Oncovalent Therapeutics","businesses","167553","91320","2820","167553","12","1290 RANCHO CONEJO BLVD","SUITE 101F","Oncovalent Txs"
"Angels Home Health Llc","healthcare","157258","92563","2820","167554","20","29970 technology dr","#208","angels home health Llc"
"Fairmont Miramar Hotel and Bungalows","lodging","167555","90401","2820","167555","200","101 Wilshire Boulevard","","Accor"
"PAR Pharmaceuticals","businesses","167556","92618","2820","167556","80","","","Endo International"
"Providence Saint John's Health Center","healthcare","97619","90404","2820","167557","250","2121 Santa Monica Blvd","","Providence Health Systems"
"","individuals","167558","95035","2820","167558","1","","",""
"Longevity Hospice","healthcare","149400","91402","2820","167559","6","8781 Van Nuys Blvd","",""
"Adventist Health Ukiah Valley","healthcare","162665","95482","2820","167560","100","275 Hospital Dr","","Adventist Health"
"Greenwich Biosciences","businesses","167561","92008","2820","167561","150","5750 Fleet St","","Jazz Pharmaceuticals"
"Pinnacle Hospice","healthcare","157507","92260-5009","2820","167562","7","72650 FRED WARING DR STE 203","",""
"","individuals","167563","93728","2820","167563","4","","",""
"AMAX Home Health Inc","healthcare","167564","91502","2820","167564","5","217 East Alameda Ave","202","AMAX Home Health Inc"
"Camarillo Endoscopy Center","healthcare","167565","93012","2820","167565","8","4005 Mission Oakes Blvd #B","",""
"Santa Ynez Valley Union High School District","schools","102061","93460","2820","167566","960","2975 East Highway 246","PO Box 398","Santa Ynez Valley Union High School District"
"CareOne Home Health and Hospice Inc.","healthcare","167567","95355","2820","167567","20","2813 Coffee Rd Suite C","","Dhillon Healthcare Group"
"Fresenius Medical Care Calexico Dialysis","healthcare","118387","92231","2820","167568","36","351 E Birch St.","",""
"California Comfort Care","healthcare","167569","91789","2820","167569","4","18800 Amar rd. #B16","","California Comfort Care"
"","individuals","167328","91789","2820","167570","15","","",""
"Fresenius Kidney Care","healthcare","118420","92243","2820","167571","30","110 South Fifth Street","","Fresenius Medical Care"
"","individuals","167572","93001","2820","167572","5","","",""
"Rady Childrens Physician Management Services","healthcare","167573","92123","2820","167573","200","3880 Murohy Canyon rd","",""
"Schools First Federal Credit Union","businesses","5312","92706","2820","167574","500","","",""
"CPT Group, Inc","businesses","132949","92606","2820","167575","60","50 Corporate Park","","CPT Group"
"","individuals","167576","90004","2820","167576","2","","",""
"Hollywood Premier","healthcare","165595","90029","2820","167577","75","5401 Fountain Avenue","","Hollywood Premier"
"","individuals","166921","91104","2820","167578","5","","",""
"Stockton Surgery Center","healthcare","159851","95209","2820","167579","1","8011 Don Avenue","","Sutter Gould Medical Foundation"
"","individuals","141102","92651","2820","167580","3","","",""
"Camellia Gardens Care Center","seniors","132888","91103","2820","167581","15","1920 N. Fair Oaks Ave","","Camellia Gardens Care Center"
"CementPro","businesses","146167","91761","2820","167582","6","3929 E Guasti Road","Unit C",""
"Bixby Knolls Towers Healthcare and Rehab Centr","healthcare","158666","90807","2820","167583","100","3747 Atlantic Ave","","Retirement Housing Foundation"
"","individuals","167584","94506","2820","167584","4","","",""
"Ocean View School District","schools","3337","92647","2820","167585","8525","17200 Pinehurst Lane","","Ocean View School District"
"Californias Best Home Health","healthcare","167586","92831","2820","167586","5","2495 E. Orangethorpe Ave. Suite #101","",""
"Pacific Hospice LLC","healthcare","118957","90703","2820","167587","3","11829 South St. Suite 103","",""
"Star Home Health","healthcare","122860","91601","2820","167588","15","5958 Vineland Ave #K","",""
"Premier Hospice and Home Care","healthcare","158732","91355","2820","167589","5","23300 Cinema Drive Ste 285","",""
"DISC Surgery Center at Newport Beach","healthcare","58706","92660","2820","167590","12","3501 Jamboree","Suite 1200",""
"Surgery Center of California","healthcare","129685","91911","2820","167591","20","835 3RD AVENUE","Suite C","California Retina Associates"
"","individuals","167592","93036","2820","167592","2","","",""
"Kaiser Foundation Hospital Valley Continuing Care","healthcare","126746","91344","2820","167593","45","10605 Balboa Blvd. Ste. 330","","Kaiser Foundation Hospital"
"","individuals","167595","92058","2820","167595","5","","",""
"Adventist Health Howard Memorial","healthcare","167594","95490","2820","167596","100","1 Marcela Dr","","Adventist Health"
"Adventist Health Mendocino Coast","healthcare","167597","95437","2820","167598","100","700 River Rd","","Adventist Health"
"Aesthetx Surgery Center","healthcare","167375","95008","2820","167599","20","3803 S Bascom Ave","","Aesthetx Surgery Center"
"CARE.AM LLC","healthcare","167600","91204","2820","167600","4","600 W Broadway","","CARE.AM Holdings"
"","individuals","149480","91977","2820","167601","1","","",""
"Ormco Corporation","businesses","167602","91766","2820","167602","120","","",""
"Madera Dialysis Center","healthcare","167603","93638","2820","167603","29","1560 Country Club","",""
"Magnificent Healthcare Systems, Inc","healthcare","142291","93063","2820","167604","6","5924 E Los Angeles Ave Suite S","",""
"The Vo Group - Valiana Vascular","healthcare","157342","92831","2820","167605","10","2501 East Chapman Avenue","Suite 220","The Vo Group"
"Loddigesia Inc. (Upland Surgical)","healthcare","157343","91786","2820","167606","10","510 North 13th Ave  #204","",""
"Desert Vein and Vascular","healthcare","167607","92211","2820","167607","10","36955 Cook Street","Suite 101","HLayport accreditation consulting"
"Valley Care Residential Homes","healthcare","128861","93612","2820","167608","55","140 N. Clovis Ave","",""
"First Baptist Church of Los Angeles","faithbased","167609","90005","2820","167609","10","760 S Westmoreland Ave","","First Baptist Church of Los Angeles"
"Essential Care Group, Inc","healthcare","156828","91733","2820","167610","8","1170 Durfee Ave Sutie K","",""
"Excellence Hospice Providers, Inc.","healthcare","167611","91710","2820","167611","12","11760 Central Ave Suite 201","",""
"Excellence Home Health Care Agency, Inc.","healthcare","142773","91710","2820","167612","12","11760 Central Ave, Suite 200","",""
"Vital Hospice Care Inc.","healthcare","131487","91791","2820","167613","5","3218 E HOLT AVE., SUITE 201","","Vital Hospice Care Inc."
"","individuals","167614","91505","2820","167614","3","","",""
"Wellcare Specialist Hospice, Inc","healthcare","148204","92840","2820","167615","10","12630 Brookhurst St. Ste F","",""
